rainfall_mm,river_water_level,relative_river_level_m,soil_moisture_percent,slope_angle_degrees,wind_speed_kmh,vegetation_density_ndvi,soil_type_idx,soil_texture_idx,lithology_idx,disaster_occurred
24.9,45.7,0.7,22.5,3.6,41.0,0.68,2,3,3,0
9.6,43.5,-1.5,21.4,48.3,34.9,0.67,2,1,2,0
29.0,41.4,-3.6,30.9,39.2,22.7,0.66,1,1,2,0
31.0,41.4,-3.6,41.4,52.8,14.4,0.44,1,2,1,0
19.0,46.4,1.4,19.1,8.1,21.6,0.31,2,3,3,0
26.2,43.0,-2.0,35.5,7.2,35.8,0.5,3,1,3,0
6.1,42.8,-2.2,21.7,32.7,26.2,0.45,2,3,1,0
44.9,44.2,-0.8,37.5,58.3,15.4,0.7,2,1,2,0
142.9,41.4,-3.6,73.6,51.8,26.6,0.15,2,1,1,1
165.2,50.6,5.6,84.4,2.3,13.3,0.58,2,2,3,1
14.9,42.4,-2.6,33.8,56.7,38.4,0.56,1,3,2,0
153.8,51.0,6.0,79.6,4.9,11.6,0.47,3,2,3,1
26.5,43.3,-1.7,29.2,9.8,39.7,0.66,2,1,3,0
30.4,44.5,-0.5,37.2,2.6,38.3,0.38,3,2,3,0
26.0,46.1,1.1,33.4,4.7,35.2,0.7,2,1,3,0
4.6,46.8,1.8,21.1,8.4,15.2,0.4,2,2,3,0
12.4,45.3,0.3,33.5,6.1,28.0,0.61,2,2,3,0
12.1,43.0,-2.0,20.9,58.0,32.4,0.68,1,1,1,0
203.6,49.0,4.0,99.8,3.5,24.6,0.56,3,2,3,1
48.3,42.2,-2.8,45.5,47.2,26.5,0.51,2,2,1,0
4.3,44.3,-0.7,16.6,40.2,23.6,0.75,2,3,2,0
39.9,40.9,-4.1,43.6,36.8,33.0,0.54,2,2,2,0
19.5,46.0,1.0,31.6,5.2,30.8,0.33,2,2,3,0
15.3,41.1,-3.9,25.6,52.8,26.2,0.63,1,2,2,0
36.1,41.5,-3.5,39.3,37.3,43.0,0.53,2,3,2,0
30.4,45.4,0.4,41.8,1.9,38.3,0.41,3,2,3,0
11.0,46.9,1.9,25.5,3.6,32.9,0.31,3,1,3,0
9.2,42.3,-2.7,32.5,28.6,24.1,0.42,1,1,2,0
15.2,40.7,-4.3,18.4,42.2,35.6,0.8,1,3,1,0
34.4,47.0,2.0,29.9,7.8,29.8,0.48,3,3,3,0
3.2,44.0,-1.0,22.3,9.5,11.3,0.55,2,2,3,0
14.1,40.2,-4.8,17.1,49.1,14.3,0.74,2,2,2,0
33.1,43.3,-1.7,26.6,4.3,17.3,0.56,2,3,3,0
25.0,43.5,-1.5,21.6,40.4,6.6,0.6,2,2,2,0
43.0,41.1,-3.9,27.6,46.1,35.6,0.63,1,2,1,0
36.6,43.7,-1.3,36.3,7.6,30.4,0.49,2,2,3,0
34.3,44.3,-0.7,37.6,4.7,16.5,0.43,3,2,3,0
223.6,51.6,6.6,100.0,4.5,5.0,0.4,3,3,3,1
22.1,43.1,-1.9,24.2,39.5,10.2,0.42,1,2,2,0
40.0,40.1,-4.9,32.2,55.8,5.5,0.68,2,2,1,0
233.1,50.5,5.5,100.0,2.2,25.4,0.48,2,2,3,1
135.2,42.3,-2.7,79.0,54.2,10.5,0.22,2,1,1,1
41.0,44.7,-0.3,32.4,52.0,28.5,0.51,2,3,2,0
27.2,41.7,-3.3,27.3,55.3,12.5,0.58,2,3,2,0
12.7,44.9,-0.1,33.3,5.7,20.2,0.64,2,3,3,0
13.3,43.4,-1.6,32.2,5.0,9.0,0.35,2,2,3,0
3.0,46.1,1.1,16.5,7.2,29.9,0.65,3,2,3,0
35.5,45.0,0.0,35.0,8.5,29.7,0.68,3,1,3,0
35.2,44.9,-0.1,27.4,59.9,17.0,0.44,1,1,2,0
5.8,45.1,0.1,23.6,3.2,36.7,0.42,2,1,3,0
36.5,43.6,-1.4,33.8,0.8,15.2,0.55,3,2,3,0
6.3,44.8,-0.2,19.4,9.0,28.5,0.66,3,3,3,0
24.2,41.0,-4.0,31.1,49.2,28.0,0.49,2,3,2,0
38.9,40.0,-5.0,43.8,25.8,34.8,0.79,2,2,2,0
10.0,46.0,1.0,29.3,6.1,32.2,0.39,3,1,3,0
23.2,45.9,0.9,21.1,9.0,16.8,0.42,2,3,3,0
41.5,42.7,-2.3,43.1,31.1,24.3,0.5,1,2,2,0
43.0,40.7,-4.3,46.8,53.1,43.7,0.69,2,3,1,0
149.5,41.3,-3.7,75.0,28.2,20.2,0.25,2,3,1,1
28.1,40.1,-4.9,25.7,28.8,7.5,0.77,1,2,2,0
199.7,40.2,-4.8,94.6,47.7,26.5,0.12,1,2,1,1
41.7,44.4,-0.6,45.5,38.0,16.2,0.65,2,3,1,0
174.9,44.3,-0.7,99.5,32.6,19.3,0.21,2,2,1,1
32.0,40.5,-4.5,23.8,31.6,18.3,0.79,1,1,2,0
9.3,46.1,1.1,29.5,0.7,28.8,0.53,2,2,3,0
238.6,49.4,4.4,100.0,9.9,36.5,0.62,3,3,3,1
5.7,40.6,-4.4,21.2,25.6,19.5,0.43,2,3,1,0
225.3,51.6,6.6,100.0,4.5,23.3,0.68,2,1,3,1
214.0,50.3,5.3,100.0,10.0,17.9,0.47,3,1,3,1
11.8,45.0,0.0,23.3,1.3,36.7,0.45,3,1,3,0
15.9,45.9,0.9,22.6,4.3,17.5,0.47,2,2,3,0
154.6,40.5,-4.5,79.3,58.4,10.2,0.25,2,1,1,1
21.1,44.4,-0.6,19.5,48.5,16.5,0.77,2,2,2,0
5.4,43.3,-1.7,19.5,28.6,35.5,0.74,1,3,1,0
27.7,43.1,-1.9,26.5,8.1,35.5,0.54,2,2,3,0
48.6,40.3,-4.7,40.0,25.2,20.0,0.44,1,2,2,0
4.2,43.9,-1.1,14.8,30.5,29.7,0.42,2,3,2,0
10.9,46.0,1.0,16.6,2.7,22.2,0.49,3,2,3,0
2.7,41.1,-3.9,30.0,43.4,35.7,0.48,2,2,1,0
19.0,43.7,-1.3,27.6,36.5,38.3,0.68,1,2,2,0
3.1,44.3,-0.7,19.8,4.0,21.2,0.47,2,3,3,0
47.4,44.8,-0.2,42.8,35.1,19.5,0.58,2,2,1,0
12.4,44.4,-0.6,21.6,2.4,11.7,0.51,3,3,3,0
29.1,46.3,1.3,37.9,5.3,14.5,0.66,2,1,3,0
24.7,40.9,-4.1,35.1,31.9,23.0,0.7,1,3,1,0
31.6,42.2,-2.8,34.5,55.2,19.1,0.72,2,1,1,0
32.2,41.8,-3.2,24.7,41.2,28.8,0.79,1,2,1,0
9.4,44.5,-0.5,23.8,45.3,43.3,0.64,1,2,2,0
203.4,49.1,4.1,100.0,8.1,44.6,0.69,3,3,3,1
27.2,43.2,-1.8,33.5,3.6,18.4,0.45,3,2,3,0
26.3,46.6,1.6,38.0,5.6,18.3,0.41,3,3,3,0
15.7,45.4,0.4,35.0,9.2,17.4,0.69,3,2,3,0
144.7,42.5,-2.5,74.7,53.5,35.6,0.29,1,1,2,1
4.0,46.1,1.1,28.3,10.0,40.3,0.33,2,1,3,0
34.6,40.8,-4.2,41.9,55.7,33.8,0.65,1,1,2,0
39.2,43.1,-1.9,30.5,37.8,43.6,0.49,1,2,2,0
15.3,45.1,0.1,35.4,3.7,37.7,0.48,3,3,3,0
22.2,43.4,-1.6,35.8,8.7,39.0,0.56,2,2,3,0
33.2,43.4,-1.6,41.5,7.6,37.7,0.48,3,2,3,0
39.8,44.5,-0.5,26.5,4.1,42.2,0.5,3,3,3,0
34.8,41.4,-3.6,38.0,52.7,22.9,0.46,1,1,1,0
29.1,45.1,0.1,23.9,0.2,16.5,0.63,2,2,3,0
2.5,46.3,1.3,21.0,0.5,26.4,0.56,3,3,3,0
9.6,44.7,-0.3,27.1,7.2,8.4,0.47,3,2,3,0
25.4,46.9,1.9,25.2,9.5,5.6,0.46,2,1,3,0
16.9,40.7,-4.3,33.4,33.4,32.4,0.66,1,3,2,0
1.8,43.6,-1.4,26.5,47.1,40.4,0.48,1,2,1,0
14.3,40.2,-4.8,16.7,43.0,31.2,0.74,2,2,2,0
35.8,44.5,-0.5,43.8,8.0,24.8,0.66,3,2,3,0
168.2,43.6,-1.4,88.2,57.4,17.8,0.26,2,1,1,1
34.5,43.0,-2.0,24.6,48.1,39.8,0.54,2,2,2,0
25.7,43.4,-1.6,23.5,34.6,6.2,0.7,1,3,1,0
19.1,43.9,-1.1,29.7,26.2,32.2,0.63,1,2,1,0
32.5,42.6,-2.4,25.3,40.5,34.4,0.5,1,2,1,0
10.7,43.9,-1.1,28.2,57.0,44.9,0.64,1,1,2,0
17.8,43.4,-1.6,30.8,1.4,38.8,0.48,2,2,3,0
46.4,44.3,-0.7,44.4,49.8,25.4,0.66,2,1,2,0
188.6,50.1,5.1,100.0,7.9,27.1,0.62,2,3,3,1
21.0,46.1,1.1,34.9,0.7,8.0,0.7,3,2,3,0
22.1,45.4,0.4,34.2,4.5,10.2,0.35,3,3,3,0
37.4,43.9,-1.1,43.9,8.3,25.8,0.42,2,2,3,0
21.3,45.0,0.0,21.9,2.5,42.7,0.35,3,1,3,0
33.0,43.1,-1.9,24.1,6.6,30.7,0.64,3,3,3,0
14.5,42.5,-2.5,25.5,47.8,37.2,0.78,2,3,1,0
23.2,40.8,-4.2,22.2,35.4,39.5,0.54,1,2,1,0
139.3,42.6,-2.4,74.7,59.1,10.6,0.12,1,1,2,1
40.7,44.8,-0.2,40.7,58.1,12.6,0.77,2,1,1,0
4.5,44.4,-0.6,20.9,59.9,14.6,0.56,2,3,2,0
33.6,43.0,-2.0,23.6,26.7,9.3,0.51,2,1,2,0
164.9,40.2,-4.8,81.7,50.5,20.5,0.17,2,2,2,1
39.7,44.9,-0.1,44.7,53.9,35.2,0.54,1,1,1,0
23.7,40.7,-4.3,31.6,42.5,25.6,0.58,1,2,1,0
24.5,42.5,-2.5,29.3,30.7,5.7,0.63,2,2,2,0
27.5,43.1,-1.9,30.5,9.8,43.7,0.62,3,3,3,0
24.8,46.4,1.4,22.9,7.2,32.2,0.37,3,1,3,0
27.6,44.6,-0.4,36.5,1.9,41.8,0.43,3,3,3,0
19.1,44.5,-0.5,36.8,7.1,23.4,0.52,2,3,3,0
27.9,41.0,-4.0,40.6,44.1,16.9,0.49,2,2,2,0
37.3,46.2,1.2,30.4,6.9,9.9,0.43,3,3,3,0
14.5,44.8,-0.2,30.1,56.4,18.9,0.52,2,2,2,0
28.1,44.1,-0.9,23.4,51.2,34.6,0.51,1,1,1,0
166.1,51.2,6.2,78.5,0.5,35.8,0.56,2,1,3,1
38.6,44.3,-0.7,38.4,4.1,41.3,0.49,3,1,3,0
35.3,43.7,-1.3,42.5,5.4,44.9,0.67,2,2,3,0
5.4,40.0,-5.0,17.9,31.5,44.6,0.79,2,3,1,0
16.5,41.4,-3.6,29.6,56.1,33.7,0.69,1,1,2,0
20.3,43.1,-1.9,24.7,52.7,21.0,0.57,1,1,1,0
10.4,43.9,-1.1,29.2,9.8,43.2,0.43,3,2,3,0
118.9,49.9,4.9,65.7,2.6,25.1,0.58,3,3,3,1
6.7,43.1,-1.9,27.6,49.2,29.2,0.46,2,2,2,0
39.4,43.4,-1.6,36.3,51.5,19.5,0.61,1,3,1,0
152.5,50.6,5.6,73.3,0.6,13.2,0.53,2,3,3,1
22.8,42.3,-2.7,28.4,28.2,37.3,0.42,2,3,1,0
1.8,44.4,-0.6,12.0,4.0,44.8,0.6,2,1,3,0
48.9,43.8,-1.2,38.0,26.1,44.7,0.66,2,2,1,0
43.7,40.4,-4.6,44.7,55.4,9.7,0.45,2,3,2,0
23.2,43.8,-1.2,27.8,43.5,20.2,0.69,1,1,1,0
29.0,43.5,-1.5,37.8,4.6,21.8,0.41,2,1,3,0
26.9,46.5,1.5,25.7,2.1,6.8,0.54,2,2,3,0
9.4,46.7,1.7,25.3,5.4,28.1,0.36,2,3,3,0
27.8,42.1,-2.9,35.8,33.3,12.0,0.64,1,3,1,0
39.3,44.7,-0.3,34.0,44.5,11.0,0.53,1,2,2,0
34.3,43.6,-1.4,33.0,7.5,7.3,0.4,3,2,3,0
32.3,41.2,-3.8,39.9,44.5,8.7,0.77,1,3,2,0
34.9,43.8,-1.2,39.2,0.5,34.0,0.57,3,3,3,0
8.5,43.8,-1.2,28.2,4.8,34.9,0.42,3,2,3,0
12.9,44.1,-0.9,24.5,7.0,30.9,0.46,2,2,3,0
23.5,40.5,-4.5,37.7,37.6,19.8,0.74,2,2,2,0
188.5,50.8,5.8,99.8,5.6,16.8,0.6,2,1,3,1
16.9,42.8,-2.2,26.5,33.1,33.9,0.71,1,3,2,0
9.2,40.7,-4.3,33.5,41.1,43.3,0.76,2,3,1,0
30.6,44.6,-0.4,39.1,8.4,14.3,0.68,2,3,3,0
26.7,45.5,0.5,30.3,0.1,24.5,0.45,3,1,3,0
33.7,40.1,-4.9,41.7,25.4,9.3,0.72,2,1,2,0
15.9,44.5,-0.5,24.5,2.4,27.6,0.63,3,3,3,0
30.4,43.4,-1.6,29.7,3.0,27.1,0.56,2,1,3,0
31.4,45.3,0.3,39.7,7.0,8.8,0.5,2,3,3,0
27.4,44.1,-0.9,31.8,2.3,31.3,0.41,3,1,3,0
19.9,43.8,-1.2,21.2,25.5,14.6,0.43,1,2,1,0
2.7,42.5,-2.5,27.9,38.4,18.6,0.57,1,3,1,0
22.5,43.2,-1.8,30.1,58.9,20.0,0.49,2,1,1,0
132.3,43.6,-1.4,75.6,28.0,34.6,0.24,2,2,1,1
5.1,42.2,-2.8,20.7,28.7,27.3,0.43,1,3,2,0
39.2,42.8,-2.2,25.9,28.6,21.6,0.75,1,1,2,0
10.8,44.1,-0.9,17.2,5.7,11.7,0.57,2,2,3,0
31.3,41.3,-3.7,26.4,35.5,9.3,0.64,1,2,2,0
34.5,44.8,-0.2,32.4,9.5,37.9,0.64,3,3,3,0
15.9,44.3,-0.7,31.1,3.0,30.3,0.49,2,3,3,0
4.6,45.3,0.3,23.7,3.3,26.8,0.63,3,3,3,0
31.9,46.3,1.3,24.1,9.5,38.9,0.68,3,2,3,0
21.2,41.3,-3.7,27.5,29.9,28.9,0.55,2,3,1,0
44.8,44.0,-1.0,40.7,43.7,8.4,0.61,2,1,1,0
39.8,44.8,-0.2,27.9,30.8,13.9,0.44,1,3,2,0
27.6,43.6,-1.4,41.0,4.5,24.3,0.49,3,2,3,0
17.4,44.2,-0.8,32.6,57.2,25.8,0.54,1,2,1,0
176.9,40.3,-4.7,87.6,28.4,9.4,0.1,2,1,2,1
18.5,46.2,1.2,30.0,5.2,12.5,0.43,2,3,3,0
35.2,43.0,-2.0,39.1,38.8,37.3,0.48,1,1,2,0
4.6,45.7,0.7,21.6,8.0,43.6,0.45,2,2,3,0
8.6,41.8,-3.2,29.5,46.4,41.7,0.67,1,3,2,0
7.3,45.8,0.8,23.1,6.7,21.7,0.35,3,1,3,0
7.0,42.8,-2.2,21.8,39.8,7.1,0.53,2,2,1,0
20.2,45.0,0.0,31.8,4.8,21.6,0.63,2,2,3,0
26.9,41.5,-3.5,29.9,30.9,34.7,0.47,1,2,1,0
14.7,46.3,1.3,16.7,5.7,33.8,0.61,3,3,3,0
9.9,46.5,1.5,14.6,9.9,15.5,0.59,2,1,3,0
34.5,41.0,-4.0,36.0,55.3,22.1,0.74,1,3,1,0
21.3,45.4,0.4,21.9,7.8,44.2,0.62,2,2,3,0
45.9,44.8,-0.2,45.7,45.0,10.1,0.8,1,1,1,0
27.0,45.0,0.0,32.3,1.5,15.7,0.63,3,2,3,0
46.8,42.6,-2.4,47.7,40.8,18.1,0.55,1,1,2,0
34.0,46.2,1.2,31.6,7.3,43.7,0.55,3,1,3,0
188.2,42.7,-2.3,100.0,34.4,35.5,0.26,2,1,2,1
6.3,44.8,-0.2,32.4,6.3,22.1,0.31,3,3,3,0
11.0,45.6,0.6,19.4,8.8,19.9,0.36,3,3,3,0
17.2,43.4,-1.6,18.8,0.5,13.5,0.59,3,1,3,0
32.7,47.0,2.0,31.5,5.9,10.3,0.3,3,1,3,0
12.0,44.5,-0.5,31.1,3.8,40.0,0.34,2,3,3,0
14.0,43.9,-1.1,30.6,0.7,41.8,0.54,2,3,3,0
178.4,40.7,-4.3,89.9,55.1,36.6,0.17,1,1,1,1
42.4,43.9,-1.1,33.0,47.6,25.7,0.66,1,3,2,0
31.8,44.0,-1.0,30.4,7.5,14.6,0.56,3,3,3,0
5.3,46.4,1.4,23.5,5.3,19.6,0.69,2,3,3,0
141.9,49.1,4.1,68.0,7.6,36.6,0.31,2,3,3,1
162.9,43.5,-1.5,80.7,47.0,17.4,0.22,2,3,2,1
25.4,46.3,1.3,33.8,9.7,7.6,0.51,2,3,3,0
5.8,41.2,-3.8,13.4,50.5,31.6,0.64,1,3,1,0
38.1,45.1,0.1,40.9,1.2,33.8,0.58,2,1,3,0
184.6,43.9,-1.1,85.1,29.4,33.5,0.15,2,3,1,1
6.7,43.6,-1.4,28.1,5.0,40.8,0.32,3,3,3,0
9.8,44.9,-0.1,21.6,2.3,11.0,0.32,2,1,3,0
41.3,44.6,-0.4,28.9,32.9,31.9,0.63,1,1,2,0
174.4,49.8,4.8,96.7,2.2,18.1,0.68,2,3,3,1
31.1,42.8,-2.2,34.3,25.3,24.7,0.59,1,1,2,0
25.4,45.8,0.8,20.4,1.5,18.4,0.31,3,3,3,0
21.0,41.0,-4.0,37.9,54.7,10.7,0.78,2,2,1,0
28.0,44.5,-0.5,40.7,0.4,8.4,0.66,2,1,3,0
17.4,46.9,1.9,21.7,6.4,15.4,0.33,3,2,3,0
47.2,42.3,-2.7,44.3,49.5,9.4,0.45,2,1,2,0
38.6,43.8,-1.2,31.6,4.5,15.6,0.46,3,1,3,0
1.6,46.3,1.3,17.2,1.6,8.6,0.63,3,1,3,0
1.6,41.3,-3.7,19.7,38.9,34.9,0.56,1,1,2,0
225.0,49.7,4.7,100.0,4.6,21.0,0.35,2,3,3,1
259.5,49.6,4.6,100.0,5.8,37.4,0.67,3,1,3,1
41.1,40.8,-4.2,27.0,29.3,32.3,0.56,2,1,1,0
1.7,41.4,-3.6,15.6,32.5,16.8,0.65,1,2,2,0
44.2,40.7,-4.3,40.3,27.1,37.1,0.61,2,1,2,0
45.6,42.7,-2.3,36.0,52.4,12.2,0.6,2,2,2,0
21.2,46.1,1.1,38.5,0.3,44.0,0.32,3,1,3,0
29.5,46.1,1.1,40.8,6.6,28.0,0.51,3,2,3,0
36.9,41.2,-3.8,36.6,57.7,33.1,0.54,1,2,1,0
38.8,45.2,0.2,29.0,5.6,6.5,0.63,2,1,3,0
246.9,49.6,4.6,100.0,6.0,33.7,0.51,2,2,3,1
34.4,46.8,1.8,31.2,0.2,42.7,0.61,2,2,3,0
37.9,46.2,1.2,44.4,3.4,31.0,0.35,3,1,3,0
6.4,41.5,-3.5,31.5,32.8,42.9,0.69,1,2,2,0
8.8,45.3,0.3,32.3,1.8,10.6,0.67,3,3,3,0
3.5,45.8,0.8,24.2,2.4,40.5,0.37,3,2,3,0
31.5,45.9,0.9,23.6,2.7,22.5,0.58,2,2,3,0
15.0,46.3,1.3,31.8,8.8,28.1,0.65,3,3,3,0
103.2,49.8,4.8,53.4,1.6,18.7,0.62,2,2,3,1
35.7,45.8,0.8,32.9,7.3,31.1,0.44,2,3,3,0
34.9,41.0,-4.0,38.6,30.5,15.6,0.69,1,2,2,0
7.7,42.9,-2.1,21.6,33.3,16.8,0.54,1,3,2,0
4.1,40.9,-4.1,17.8,32.0,20.9,0.74,1,2,1,0
9.3,41.9,-3.1,22.5,28.2,15.5,0.42,2,2,1,0
21.7,46.9,1.9,30.5,1.5,27.1,0.33,2,2,3,0
192.2,42.4,-2.6,96.9,58.8,41.0,0.24,2,3,1,1
38.9,46.2,1.2,28.1,1.2,21.9,0.37,3,3,3,0
40.4,41.6,-3.4,37.3,32.1,27.1,0.43,1,2,2,0
165.3,40.6,-4.4,95.4,57.1,9.0,0.22,1,1,2,1
26.2,45.3,0.3,29.9,7.9,11.9,0.65,3,2,3,0
13.3,44.0,-1.0,30.2,6.2,41.8,0.32,3,2,3,0
34.3,45.7,0.7,43.2,3.4,14.1,0.42,3,2,3,0
4.5,43.6,-1.4,30.1,52.1,21.3,0.58,2,2,2,0
6.8,41.6,-3.4,30.3,53.7,6.2,0.74,1,1,1,0
157.7,49.6,4.6,80.4,8.4,23.6,0.31,2,2,3,1
7.1,46.5,1.5,24.6,6.8,19.0,0.45,2,1,3,0
188.3,40.1,-4.9,89.6,51.2,13.9,0.26,1,1,2,1
38.7,45.7,0.7,35.0,2.7,10.3,0.51,3,1,3,0
11.0,46.6,1.6,31.4,2.2,23.4,0.59,3,1,3,0
48.3,40.0,-5.0,40.5,35.6,28.8,0.74,2,2,1,0
16.3,41.7,-3.3,29.6,49.0,43.1,0.51,2,3,1,0
30.0,44.0,-1.0,35.6,31.6,33.9,0.66,1,3,1,0
29.2,42.0,-3.0,38.0,59.9,18.7,0.8,2,3,2,0
20.3,46.4,1.4,34.9,6.9,40.1,0.66,3,1,3,0
45.6,43.6,-1.4,46.2,28.4,31.2,0.78,1,1,2,0
13.0,43.9,-1.1,32.2,32.8,23.8,0.52,2,3,2,0
15.3,44.2,-0.8,17.2,4.7,39.2,0.5,2,1,3,0
7.2,43.3,-1.7,19.5,3.4,44.5,0.36,3,2,3,0
23.1,43.6,-1.4,34.9,0.0,36.2,0.38,3,1,3,0
1.9,44.8,-0.2,18.2,47.2,5.6,0.48,2,2,2,0
27.7,44.4,-0.6,23.7,0.2,20.3,0.55,2,3,3,0
26.0,44.7,-0.3,29.1,30.8,32.5,0.61,1,1,2,0
45.3,43.8,-1.2,28.5,59.9,14.0,0.72,2,1,2,0
31.7,44.5,-0.5,35.5,7.3,35.8,0.35,2,3,3,0
0.8,45.8,0.8,18.7,5.9,20.2,0.56,2,3,3,0
15.1,43.5,-1.5,29.3,41.6,15.8,0.66,1,3,1,0
11.3,46.1,1.1,24.5,4.2,29.4,0.5,2,2,3,0
179.4,49.6,4.6,100.0,3.6,18.2,0.42,3,1,3,1
6.0,43.4,-1.6,22.6,6.7,33.9,0.63,2,1,3,0
185.1,41.3,-3.7,100.0,47.6,19.4,0.27,2,3,2,1
0.5,44.3,-0.7,23.1,39.9,18.1,0.46,1,2,1,0
20.0,44.1,-0.9,23.4,55.7,20.4,0.78,1,2,2,0
49.1,40.7,-4.3,31.7,47.7,41.4,0.74,1,2,1,0
44.0,43.1,-1.9,45.4,31.3,24.3,0.69,2,2,2,0
12.6,45.8,0.8,28.6,8.9,35.7,0.32,3,3,3,0
24.7,44.7,-0.3,34.4,9.8,24.3,0.51,3,3,3,0
42.4,43.2,-1.8,44.3,30.2,8.0,0.74,1,2,1,0
18.9,42.5,-2.5,19.1,33.4,22.8,0.73,2,3,1,0
37.3,41.6,-3.4,33.0,28.1,6.4,0.41,2,3,2,0
26.2,44.8,-0.2,27.3,8.3,38.0,0.66,3,1,3,0
180.7,43.6,-1.4,89.1,36.6,38.2,0.14,2,2,2,1
37.1,42.5,-2.5,29.9,49.6,12.8,0.56,1,1,1,0
46.3,40.5,-4.5,40.3,32.5,35.9,0.73,1,2,2,0
27.7,40.0,-5.0,32.8,48.0,42.0,0.57,1,1,2,0
24.2,44.3,-0.7,37.3,7.3,21.7,0.34,2,3,3,0
5.3,44.7,-0.3,26.1,2.7,34.9,0.69,3,2,3,0
34.3,41.0,-4.0,26.4,49.9,33.4,0.77,1,1,1,0
35.5,42.9,-2.1,42.1,49.9,26.4,0.67,2,2,2,0
109.1,49.8,4.8,69.4,5.2,44.3,0.45,2,3,3,1
17.9,41.0,-4.0,29.5,30.1,32.0,0.58,1,3,2,0
32.0,44.2,-0.8,36.1,7.4,42.1,0.4,3,2,3,0
31.0,40.1,-4.9,39.8,58.5,38.2,0.71,2,3,1,0
34.1,41.5,-3.5,27.1,51.4,25.6,0.47,1,2,1,0
10.2,44.3,-0.7,28.3,4.3,11.2,0.35,3,1,3,0
3.6,43.9,-1.1,21.9,45.9,43.3,0.68,2,3,2,0
3.7,43.9,-1.1,15.7,7.9,18.3,0.47,2,2,3,0
12.0,40.6,-4.4,33.2,32.6,14.8,0.66,2,1,1,0
1.2,41.3,-3.7,25.9,38.3,25.6,0.61,1,3,2,0
127.7,41.6,-3.4,76.5,42.0,26.3,0.29,2,3,1,1
4.2,45.2,0.2,25.7,2.1,44.0,0.65,2,2,3,0
1.5,43.3,-1.7,14.2,7.5,15.1,0.31,2,1,3,0
17.3,43.1,-1.9,30.4,9.1,26.4,0.46,3,3,3,0
248.5,49.3,4.3,100.0,7.6,17.1,0.58,2,1,3,1
23.7,42.0,-3.0,22.2,51.8,20.6,0.61,2,3,2,0
39.8,43.4,-1.6,33.4,58.6,43.0,0.69,1,3,2,0
21.9,43.3,-1.7,23.0,1.2,34.7,0.53,2,3,3,0
12.6,40.9,-4.1,28.5,32.4,27.7,0.45,1,1,1,0
9.9,43.4,-1.6,33.0,47.6,19.3,0.63,1,3,2,0
